id,descripcion,created_at,updated_at,disabled_at
1,"Dolor toracico","2024-03-12 07:42:00","2024-04-04 07:42:00",NULL
2,"Perdida de movilidad en las articulaciones","2024-03-02 18:40:00","2024-03-14 18:40:00",NULL
3,"Dificultad para respirar","2024-05-29 02:15:00","2024-06-10 02:15:00","2024-06-11 02:15:00"
4,"Mareos y desmayos","2024-04-19 07:44:00","2024-05-15 07:44:00","2024-06-04 07:44:00"
5,"Hinchazon en piernas y tobillos","2024-06-06 23:08:00","2024-06-15 23:08:00","2024-07-09 23:08:00"
6,"Presion arterial alta","2024-03-01 05:38:00","2024-03-22 05:38:00","2024-03-28 05:38:00"
7,"Fatiga inusual","2024-01-28 18:38:00","2024-02-16 18:38:00",NULL
8,"Latidos cardiacos irregulares","2024-05-02 19:41:00","2024-05-24 19:41:00",NULL
9,"Dolor en el brazo izquierdo","2024-04-22 15:53:00","2024-05-10 15:53:00",NULL
10,"Problemas de colesterol alto","2024-06-21 21:04:00","2024-06-23 21:04:00","2024-07-09 21:04:00"
11,"Erupciones cutaneas","2024-04-24 16:42:00","2024-05-15 16:42:00","2024-06-13 16:42:00"
12,"Acne severo","2024-04-01 22:47:00","2024-04-03 22:47:00",NULL
13,"Nodulos bajo la piel","2024-04-17 02:00:00","2024-04-24 02:00:00",NULL
14,"Unas fragiles y deformadas","2024-04-05 11:43:00","2024-04-16 11:43:00",NULL
15,Psoriasis,"2024-03-09 09:02:00","2024-04-05 09:02:00",NULL
16,"Lunares cambiantes","2024-01-01 00:41:00","2024-01-24 00:41:00",NULL
17,"Sangre en la orina","2024-06-22 21:15:00","2024-07-12 21:15:00","2024-08-04 21:15:00"
18,"Infecciones cutaneas","2024-04-27 20:32:00","2024-05-20 20:32:00","2024-05-29 20:32:00"
19,"Manchas oscuras en la piel","2024-02-16 21:27:00","2024-03-15 21:27:00","2024-03-31 21:27:00"
20,Verrugas,"2024-05-28 22:41:00","2024-05-29 22:41:00",NULL
21,"Dolor abdominal","2024-02-03 00:44:00","2024-02-28 00:44:00",NULL
22,"Reflujo acido","2024-06-23 21:17:00","2024-06-30 21:17:00",NULL
23,"Diarrea cronica","2024-04-03 00:13:00","2024-04-29 00:13:00","2024-05-02 00:13:00"
24,"Estrenimiento severo","2024-04-16 04:04:00","2024-05-11 04:04:00",NULL
25,"Sangre en las heces","2024-05-22 11:32:00","2024-05-23 11:32:00",NULL
26,"Nauseas y vomitos persistentes","2024-05-26 22:25:00","2024-06-22 22:25:00","2024-06-27 22:25:00"
27,"Perdida de peso inexplicable","2024-05-11 11:04:00","2024-06-01 11:04:00",NULL
28,"Ictericia (piel y ojos amarillos)","2024-06-11 07:01:00","2024-06-30 07:01:00","2024-07-23 07:01:00"
29,"Alteraciones menstruales","2024-03-12 15:44:00","2024-03-13 15:44:00","2024-03-18 15:44:00"
30,"Inflamacion abdominal","2024-05-20 10:25:00","2024-06-13 10:25:00",NULL
31,"Dolores de cabeza recurrentes","2024-03-21 16:58:00","2024-04-13 16:58:00",NULL
32,Migranas,"2024-01-26 20:39:00","2024-02-24 20:39:00",NULL
33,"Problemas de memoria","2024-06-05 16:13:00","2024-06-11 16:13:00",NULL
34,Convulsiones,"2024-02-17 07:14:00","2024-03-12 07:14:00","2024-03-27 07:14:00"
35,"Mareos y vertigo","2024-03-02 01:18:00","2024-03-07 01:18:00","2024-03-28 01:18:00"
36,"Debilidad muscular","2024-03-10 04:17:00","2024-04-03 04:17:00","2024-04-06 04:17:00"
37,"Hormigueo o entumecimiento","2024-01-15 11:29:00","2024-02-03 11:29:00",NULL
38,"Dificultad para hablar","2024-01-30 03:06:00","2024-02-27 03:06:00","2024-03-11 03:06:00"
39,"Problemas de coordinacion","2024-03-17 12:10:00","2024-03-23 12:10:00","2024-03-29 12:10:00"
40,"Temblor involuntario","2024-03-20 12:58:00","2024-04-12 12:58:00",NULL
41,"Bultos o masas anormales","2024-03-03 13:02:00","2024-03-27 13:02:00",NULL
42,"Perdida de peso significativa y sin razon aparente","2024-02-25 21:13:00","2024-03-04 21:13:00","2024-03-16 21:13:00"
43,"Cansancio extremo","2024-04-24 10:00:00","2024-04-24 10:00:00",NULL
44,"Dolor persistente y sin causa clara","2024-06-12 03:45:00","2024-06-23 03:45:00",NULL
45,"Cambios en el apetito","2024-01-21 14:43:00","2024-02-16 14:43:00","2024-02-23 14:43:00"
46,"Retraso en el crecimiento","2024-01-01 03:33:00","2024-01-21 03:33:00","2024-02-02 03:33:00"
47,"Problemas de desarrollo","2024-03-15 16:14:00","2024-04-07 16:14:00","2024-04-29 16:14:00"
48,"Depresion persistente","2024-03-05 22:00:00","2024-03-27 22:00:00",NULL
49,"Trastornos del sueno","2024-02-17 14:44:00","2024-02-28 14:44:00",NULL
50,"Inflamacion articular","2024-05-29 11:02:00","2024-05-30 11:02:00",NULL
